symbol,sector_name
SJ1,Thực phẩm và đồ uống
SJE,Xây dựng và Vật liệu
SLS,Thực phẩm và đồ uống
SMN,Truyền thông
SMT,Công nghệ Thông tin
SPC,Hóa chất
SPI,Hàng & Dịch vụ Công nghiệp
SRA,Y tế
SSM,Tài nguyên Cơ bản
STC,Truyền thông
STP,Xây dựng và Vật liệu
SVN,Hàng & Dịch vụ Công nghiệp
SZB,Bất động sản
TA9,Xây dựng và Vật liệu
TBX,Xây dựng và Vật liệu
TDT,Hàng cá nhân & Gia dụng
TET,Hàng & Dịch vụ Công nghiệp
TFC,Thực phẩm và đồ uống
THB,Thực phẩm và đồ uống
THD,Bất động sản
THS,Tài nguyên Cơ bản
THT,Tài nguyên Cơ bản
TIG,Bất động sản
TJC,Hàng & Dịch vụ Công nghiệp
TKU,Tài nguyên Cơ bản
TMB,Tài nguyên Cơ bản
TMC,Bán lẻ
TMX,Bán lẻ
TNG,Hàng cá nhân & Gia dụng
TOT,Hàng & Dịch vụ Công nghiệp
TPH,Truyền thông
TPP,Hóa chất
TSB,Hóa chất
TTC,Hàng cá nhân & Gia dụng
TTH,Hàng cá nhân & Gia dụng
TTL,Xây dựng và Vật liệu
TTT,Du lịch và Giải trí
TV3,Hàng & Dịch vụ Công nghiệp
TV4,Hàng & Dịch vụ Công nghiệp
TVC,Dịch vụ tài chính
TVD,Tài nguyên Cơ bản
TXM,Xây dựng và Vật liệu
UNI,Xây dựng và Vật liệu
V12,Xây dựng và Vật liệu
V21,Xây dựng và Vật liệu
VBC,Y tế
VC1,Xây dựng và Vật liệu
VC2,Xây dựng và Vật liệu
VC3,Xây dựng và Vật liệu
VC6,Xây dựng và Vật liệu
VC7,Xây dựng và Vật liệu
VC9,Xây dựng và Vật liệu
VCC,Xây dựng và Vật liệu
VCM,Xây dựng và Vật liệu
VCS,Xây dựng và Vật liệu
VDL,Truyền thông
VE1,Xây dựng và Vật liệu
VE3,Xây dựng và Vật liệu
VE4,Hàng & Dịch vụ Công nghiệp
VE8,Xây dựng và Vật liệu
VFS,Dịch vụ tài chính
VGP,Hàng & Dịch vụ Công nghiệp
VGS,Tài nguyên Cơ bản
VHE,Y tế
VHL,Xây dựng và Vật liệu
VIF,Tài nguyên Cơ bản
VIG,Dịch vụ tài chính
VIT,Xây dựng và Vật liệu
VLA,Dịch vụ tài chính
VMC,Xây dựng và Vật liệu
VMS,Hàng & Dịch vụ Công nghiệp
VNC,Hàng & Dịch vụ Công nghiệp
VNF,Hàng & Dịch vụ Công nghiệp
VNR,Bảo hiểm
VNT,Hàng & Dịch vụ Công nghiệp
VSA,Hàng & Dịch vụ Công nghiệp
VSM,Truyền thông
VTC,Công nghệ Thông tin
VTH,Tài nguyên Cơ bản
VTJ,Hàng cá nhân & Gia dụng
VTV,Truyền thông
VTZ,Xây dựng và Vật liệu
WCS,Hàng & Dịch vụ Công nghiệp
WSS,Dịch vụ tài chính
X20,Hàng cá nhân & Gia dụng
